Data/Hora, Temperatura Externa, Temperatura Interna, Temperatura Referencia, Sinal de Controle
2021-09-07 16:30:42, 31.378, 49.875, 62.000, 100%
2021-09-07 16:30:44, 31.381, 51.812, 62.000, 100%
2021-09-07 16:30:46, 31.383, 51.812, 62.000, 100%
2021-09-07 16:30:48, 31.386, 52.688, 62.000, 100%
2021-09-07 16:30:50, 31.389, 53.625, 62.000, 100%
2021-09-07 16:30:52, 31.391, 53.625, 62.000, 100%
2021-09-07 16:30:54, 31.396, 54.562, 62.000, 100%
2021-09-07 16:30:56, 31.402, 55.500, 62.000, 100%
2021-09-07 16:30:58, 31.408, 55.500, 62.000, 100%
2021-09-07 16:31:00, 31.413, 57.375, 62.000, 100%
2021-09-07 16:31:02, 31.420, 58.375, 62.000, 100%
2021-09-07 16:31:04, 31.428, 58.375, 62.000, 100%
2021-09-07 16:31:06, 31.436, 59.312, 62.000, 100%
2021-09-07 16:31:08, 31.445, 60.250, 62.000, 0%
2021-09-07 16:31:10, 31.454, 60.250, 62.000, 0%
2021-09-07 16:31:12, 31.463, 61.250, 62.000, 0%
2021-09-07 16:31:14, 31.467, 62.188, 62.000, 0%
2021-09-07 16:31:16, 31.475, 62.188, 62.000, 0%
2021-09-07 16:31:18, 31.482, 63.875, 62.000, 0%
2021-09-07 16:31:20, 31.488, 64.625, 62.000, -100%
2021-09-07 16:31:22, 31.494, 64.625, 62.000, -100%
2021-09-07 16:31:24, 31.500, 65.375, 62.000, -100%
2021-09-07 16:31:26, 31.506, 65.750, 62.000, -100%
2021-09-07 16:31:28, 31.514, 65.750, 62.000, -100%
2021-09-07 16:31:30, 31.523, 66.000, 62.000, -100%
2021-09-07 16:31:32, 31.532, 66.188, 62.000, -100%
2021-09-07 16:31:34, 31.537, 66.188, 62.000, -100%
2021-09-07 16:31:36, 31.547, 66.438, 62.000, -100%
2021-09-07 16:31:38, 31.557, 66.438, 62.000, -100%
2021-09-07 16:31:40, 31.567, 66.438, 62.000, -100%
2021-09-07 16:31:42, 31.578, 66.438, 62.000, -100%
2021-09-07 16:31:44, 31.589, 66.438, 62.000, -100%
2021-09-07 16:31:46, 31.599, 66.438, 62.000, -100%
2021-09-07 16:31:48, 31.610, 66.375, 62.000, -100%
2021-09-07 16:31:50, 31.621, 66.312, 62.000, -100%
2021-09-07 16:31:52, 31.632, 66.312, 62.000, -100%
2021-09-07 16:31:54, 31.643, 66.062, 62.000, -100%
2021-09-07 16:31:56, 31.648, 65.938, 62.000, -100%
2021-09-07 16:31:58, 31.658, 65.938, 62.000, -100%
2021-09-07 16:32:00, 31.669, 65.750, 62.000, -100%
2021-09-07 16:32:02, 31.680, 65.562, 62.000, -100%
2021-09-07 16:32:04, 31.690, 65.562, 62.000, -100%
2021-09-07 16:32:06, 31.699, 65.312, 62.000, -100%
2021-09-07 16:32:08, 31.708, 65.125, 62.000, -100%
2021-09-07 16:32:10, 31.717, 65.125, 62.000, -100%
2021-09-07 16:32:12, 31.725, 64.562, 62.000, -100%
2021-09-07 16:32:14, 31.734, 64.312, 62.000, -100%
2021-09-07 16:32:16, 31.742, 64.312, 62.000, -100%
2021-09-07 16:32:18, 31.747, 64.000, 62.000, 0%
2021-09-07 16:32:20, 31.754, 63.750, 62.000, 0%
2021-09-07 16:32:22, 31.761, 63.750, 62.000, 0%
2021-09-07 16:32:24, 31.768, 63.625, 62.000, 0%
2021-09-07 16:32:26, 31.775, 63.688, 62.000, 0%
2021-09-07 16:32:28, 31.779, 63.688, 62.000, 0%
2021-09-07 16:32:30, 31.784, 63.812, 62.000, 0%
2021-09-07 16:32:32, 31.787, 63.938, 62.000, 0%
2021-09-07 16:32:34, 31.789, 63.938, 62.000, 0%
2021-09-07 16:32:36, 31.789, 64.000, 62.000, 0%
2021-09-07 16:32:38, 31.790, 64.125, 62.000, -100%
2021-09-07 16:32:40, 31.790, 64.125, 62.000, -100%
2021-09-07 16:32:42, 31.791, 64.125, 62.000, -100%
2021-09-07 16:32:44, 31.791, 64.125, 62.000, -100%
2021-09-07 16:32:46, 31.791, 64.125, 62.000, -100%
2021-09-07 16:32:48, 31.793, 63.375, 62.000, 0%
2021-09-07 16:32:50, 31.795, 63.000, 62.000, 0%
2021-09-07 16:32:52, 31.798, 63.000, 62.000, 0%
2021-09-07 16:32:54, 31.800, 62.812, 62.000, 0%
2021-09-07 16:32:56, 31.804, 62.750, 62.000, 0%
2021-09-07 16:32:58, 31.806, 62.750, 62.000, 0%
