Data/Hora, Temperatura Externa, Temperatura Interna, Temperatura Referencia, Sinal de Controle
2021-09-06 21:16:54, 30.116, 63.062, 54.000, -100%
2021-09-06 21:16:56, 30.117, 63.000, 54.000, -100%
2021-09-06 21:16:58, 30.117, 62.688, 54.000, -100%
2021-09-06 21:17:00, 30.117, 62.688, 54.000, -100%
2021-09-06 21:17:02, 30.118, 62.312, 54.000, -100%
2021-09-06 21:17:04, 30.120, 61.812, 54.000, -100%
2021-09-06 21:17:06, 30.121, 61.812, 54.000, -100%
2021-09-06 21:17:08, 30.123, 61.375, 54.000, -100%
2021-09-06 21:17:10, 30.126, 60.875, 54.000, -100%
2021-09-06 21:17:12, 30.128, 60.875, 54.000, -100%
2021-09-06 21:17:14, 30.131, 59.938, 54.000, -100%
2021-09-06 21:17:16, 30.132, 59.438, 54.000, -100%
2021-09-06 21:17:18, 30.136, 59.438, 54.000, -100%
2021-09-06 21:17:20, 30.139, 58.938, 54.000, -100%
2021-09-06 21:17:22, 30.141, 58.500, 54.000, -100%
2021-09-06 21:17:24, 30.144, 58.500, 54.000, -100%
2021-09-06 21:17:26, 30.146, 58.062, 54.000, -100%
2021-09-06 21:17:28, 30.148, 57.562, 54.000, -100%
2021-09-06 21:17:30, 30.150, 57.562, 54.000, -100%
2021-09-06 21:17:32, 30.153, 56.688, 54.000, -100%
2021-09-06 21:17:34, 30.156, 56.188, 54.000, -100%
2021-09-06 21:17:36, 30.159, 56.188, 54.000, -100%
2021-09-06 21:17:38, 30.161, 55.750, 54.000, 0%
2021-09-06 21:17:40, 30.165, 55.375, 54.000, 0%
2021-09-06 21:17:42, 30.168, 55.375, 54.000, 0%
2021-09-06 21:17:44, 30.172, 55.125, 54.000, 0%
2021-09-06 21:17:46, 30.176, 55.000, 54.000, 0%
2021-09-06 21:17:48, 30.179, 55.000, 54.000, 0%
2021-09-06 21:17:50, 30.182, 54.938, 54.000, 0%
2021-09-06 21:17:52, 30.184, 54.875, 54.000, 0%
2021-09-06 21:17:54, 30.187, 54.875, 54.000, 0%
2021-09-06 21:17:56, 30.188, 54.812, 54.000, 0%
2021-09-06 21:17:58, 30.190, 54.812, 54.000, 0%
2021-09-06 21:18:00, 30.190, 54.812, 54.000, 0%
2021-09-06 21:18:02, 30.191, 54.750, 54.000, 0%
2021-09-06 21:18:04, 30.192, 54.750, 54.000, 0%
2021-09-06 21:18:06, 30.193, 54.750, 54.000, 0%
2021-09-06 21:18:08, 30.193, 54.625, 54.000, 0%
2021-09-06 21:18:10, 30.194, 54.562, 54.000, 0%
2021-09-06 21:18:12, 30.194, 54.562, 54.000, 0%
2021-09-06 21:18:14, 30.195, 54.562, 54.000, 0%
2021-09-06 21:18:16, 30.195, 54.500, 54.000, 0%
2021-09-06 21:18:18, 30.195, 54.500, 54.000, 0%
2021-09-06 21:18:20, 30.195, 54.500, 54.000, 0%
2021-09-06 21:18:22, 30.196, 54.375, 54.000, 0%
2021-09-06 21:18:24, 30.196, 54.375, 54.000, 0%
2021-09-06 21:18:26, 30.196, 54.312, 54.000, 0%
2021-09-06 21:18:28, 30.197, 54.250, 54.000, 0%
2021-09-06 21:18:30, 30.197, 54.250, 54.000, 0%
2021-09-06 21:18:32, 30.197, 54.188, 54.000, 0%
2021-09-06 21:18:34, 30.198, 54.125, 54.000, 0%
2021-09-06 21:18:36, 30.197, 54.125, 54.000, 0%
2021-09-06 21:18:38, 30.197, 54.062, 54.000, 0%
2021-09-06 21:18:40, 30.197, 53.938, 54.000, 0%
2021-09-06 21:18:42, 30.197, 53.938, 54.000, 0%
2021-09-06 21:18:44, 30.196, 53.875, 54.000, 0%
2021-09-06 21:18:46, 30.196, 53.812, 54.000, 0%
2021-09-06 21:18:48, 30.196, 53.812, 54.000, 0%
2021-09-06 21:18:50, 30.196, 53.750, 54.000, 0%
2021-09-06 21:18:52, 30.196, 53.688, 54.000, 0%
2021-09-06 21:18:54, 30.196, 53.688, 54.000, 0%
2021-09-06 21:18:56, 30.196, 53.625, 54.000, 0%
2021-09-06 21:18:58, 30.195, 53.500, 54.000, 0%
2021-09-06 21:19:00, 30.195, 53.500, 54.000, 0%
2021-09-06 21:19:02, 30.194, 53.375, 54.000, 0%
2021-09-06 21:19:04, 30.194, 53.375, 54.000, 0%
2021-09-06 21:19:06, 30.193, 53.375, 54.000, 0%
2021-09-06 21:19:08, 30.192, 53.250, 54.000, 0%
2021-09-06 21:19:10, 30.192, 53.188, 54.000, 0%
2021-09-06 21:19:12, 30.191, 53.188, 54.000, 0%
2021-09-06 21:19:14, 30.189, 53.125, 54.000, 0%
2021-09-06 21:19:16, 30.188, 52.938, 54.000, 0%
2021-09-06 21:19:18, 30.186, 52.938, 54.000, 0%
2021-09-06 21:19:20, 30.183, 52.875, 54.000, 0%
2021-09-06 21:19:22, 30.179, 52.812, 54.000, 0%
2021-09-06 21:19:24, 30.177, 52.812, 54.000, 0%
2021-09-06 21:19:26, 30.176, 52.688, 54.000, 0%
2021-09-06 21:19:28, 30.175, 52.562, 54.000, 0%
2021-09-06 21:19:30, 30.173, 52.562, 54.000, 0%
2021-09-06 21:19:32, 30.171, 52.500, 54.000, 0%
2021-09-06 21:19:34, 30.169, 52.375, 54.000, 0%
2021-09-06 21:19:36, 30.167, 52.375, 54.000, 0%
2021-09-06 21:19:38, 30.165, 52.250, 54.000, 0%
2021-09-06 21:19:40, 30.164, 52.188, 54.000, 0%
2021-09-06 21:19:42, 30.163, 52.188, 54.000, 0%
2021-09-06 21:19:44, 30.163, 52.062, 54.000, 0%
2021-09-06 21:19:46, 30.162, 52.000, 54.000, 0%
2021-09-06 21:19:48, 30.162, 52.000, 54.000, 0%
2021-09-06 21:19:50, 30.161, 51.875, 54.000, 100%
2021-09-06 21:19:52, 30.160, 51.750, 54.000, 100%
2021-09-06 21:19:54, 30.160, 51.750, 54.000, 100%
2021-09-06 21:19:56, 30.159, 51.750, 54.000, 100%
2021-09-06 21:19:58, 30.160, 51.750, 54.000, 100%
2021-09-06 21:20:00, 30.159, 51.750, 54.000, 100%
2021-09-06 21:20:02, 30.159, 51.938, 54.000, 100%
2021-09-06 21:20:04, 30.160, 52.125, 54.000, 0%
2021-09-06 21:20:06, 30.160, 52.125, 54.000, 0%
2021-09-06 21:20:08, 30.160, 52.562, 54.000, 0%
2021-09-06 21:20:10, 30.161, 52.812, 54.000, 0%
2021-09-06 21:20:12, 30.162, 52.812, 54.000, 0%
2021-09-06 21:20:14, 30.164, 53.062, 54.000, 0%
2021-09-06 21:20:16, 30.165, 53.312, 54.000, 0%
2021-09-06 21:20:18, 30.167, 53.312, 54.000, 0%
2021-09-06 21:20:20, 30.169, 53.500, 54.000, 0%
2021-09-06 21:20:22, 30.171, 53.688, 54.000, 0%
2021-09-06 21:20:24, 30.172, 53.688, 54.000, 0%
