Data/Hora, Temperatura Externa, Temperatura Interna, Temperatura Referencia, Sinal de Controle
2021-09-07 16:49:05, 32.539, 68.312, 67.000, -8%
2021-09-07 16:49:07, 32.539, 68.438, 67.000, -11%
2021-09-07 16:49:09, 32.540, 68.438, 67.000, -15%
2021-09-07 16:49:11, 32.541, 68.562, 67.000, -17%
2021-09-07 16:49:13, 32.541, 68.688, 67.000, -21%
2021-09-07 16:49:15, 32.541, 68.750, 67.000, -25%
2021-09-07 16:49:17, 32.538, 68.750, 67.000, -29%
2021-09-07 16:49:19, 32.536, 68.875, 67.000, -33%
2021-09-07 16:49:21, 32.532, 68.875, 67.000, -37%
2021-09-07 16:49:23, 32.529, 69.062, 67.000, -41%
2021-09-07 16:49:25, 32.525, 69.062, 67.000, -46%
2021-09-07 16:49:27, 32.523, 69.062, 67.000, -50%
2021-09-07 16:49:29, 32.518, 69.000, 67.000, -54%
2021-09-07 16:49:31, 32.513, 68.938, 67.000, -58%
2021-09-07 16:49:33, 32.508, 68.688, 67.000, -61%
2021-09-07 16:49:35, 32.503, 68.688, 67.000, -63%
2021-09-07 16:49:37, 32.499, 68.438, 67.000, -67%
2021-09-07 16:49:39, 32.496, 68.062, 67.000, -68%
2021-09-07 16:49:41, 32.494, 67.750, 67.000, -69%
2021-09-07 16:49:43, 32.493, 67.375, 67.000, -69%
2021-09-07 16:49:45, 32.493, 67.375, 67.000, -67%
2021-09-07 16:49:47, 32.493, 67.000, 67.000, -68%
2021-09-07 16:49:49, 32.493, 66.625, 67.000, -66%
2021-09-07 16:49:51, 32.493, 66.312, 67.000, -64%
2021-09-07 16:49:53, 32.493, 66.312, 67.000, -61%
2021-09-07 16:49:55, 32.495, 65.938, 67.000, -59%
2021-09-07 16:49:57, 32.496, 65.562, 67.000, -55%
2021-09-07 16:49:59, 32.499, 65.250, 67.000, -51%
2021-09-07 16:50:01, 32.501, 65.000, 67.000, -46%
2021-09-07 16:50:03, 32.504, 65.000, 67.000, -40%
2021-09-07 16:50:05, 32.506, 64.688, 67.000, -36%
2021-09-07 16:50:07, 32.508, 64.562, 67.000, -30%
2021-09-07 16:50:09, 32.509, 64.500, 67.000, -25%
2021-09-07 16:50:11, 32.510, 64.500, 67.000, -19%
2021-09-07 16:50:13, 32.511, 64.500, 67.000, -14%
2021-09-07 16:50:15, 32.512, 64.500, 67.000, -9%
2021-09-07 16:50:17, 32.513, 64.438, 67.000, -4%
2021-09-07 16:50:19, 32.513, 64.375, 67.000, 0%
2021-09-07 16:50:21, 32.512, 64.375, 67.000, 6%
2021-09-07 16:50:23, 32.510, 64.375, 67.000, 11%
2021-09-07 16:50:25, 32.509, 64.250, 67.000, 16%
2021-09-07 16:50:27, 32.510, 64.188, 67.000, 22%
2021-09-07 16:50:29, 32.511, 64.188, 67.000, 28%
2021-09-07 16:50:31, 32.514, 64.125, 67.000, 34%
2021-09-07 16:50:33, 32.515, 64.188, 67.000, 40%
2021-09-07 16:50:35, 32.518, 64.125, 67.000, 45%
2021-09-07 16:50:37, 32.519, 64.125, 67.000, 51%
2021-09-07 16:50:39, 32.522, 64.125, 67.000, 57%
2021-09-07 16:50:41, 32.523, 64.188, 67.000, 63%
2021-09-07 16:50:43, 32.525, 64.250, 67.000, 68%
2021-09-07 16:50:45, 32.527, 64.375, 67.000, 73%
2021-09-07 16:50:47, 32.529, 64.375, 67.000, 78%
2021-09-07 16:50:49, 32.530, 64.500, 67.000, 83%
2021-09-07 16:50:51, 32.531, 64.688, 67.000, 88%
2021-09-07 16:50:53, 32.532, 64.875, 67.000, 91%
2021-09-07 16:50:55, 32.534, 65.125, 67.000, 95%
2021-09-07 16:50:57, 32.535, 65.125, 67.000, 97%
2021-09-07 16:50:59, 32.533, 65.438, 67.000, 100%
2021-09-07 16:51:01, 32.531, 65.750, 67.000, 100%
2021-09-07 16:51:03, 32.530, 66.188, 67.000, 100%
2021-09-07 16:51:05, 32.528, 66.188, 67.000, 100%
2021-09-07 16:51:07, 32.527, 66.562, 67.000, 100%
2021-09-07 16:51:09, 32.527, 67.000, 67.000, 100%
2021-09-07 16:51:11, 32.528, 67.438, 67.000, 100%
2021-09-07 16:51:13, 32.529, 67.938, 67.000, 96%
2021-09-07 16:51:15, 32.530, 67.938, 67.000, 92%
2021-09-07 16:51:17, 32.531, 68.500, 55.000, -41%
2021-09-07 16:51:19, 32.533, 69.062, 55.000, -11%
2021-09-07 16:51:21, 32.536, 69.562, 55.000, -42%
2021-09-07 16:51:23, 32.539, 69.562, 55.000, -73%
2021-09-07 16:51:25, 32.541, 70.062, 55.000, -100%
2021-09-07 16:51:27, 32.542, 70.250, 55.000, -100%
2021-09-07 16:51:29, 32.545, 70.250, 55.000, -100%
2021-09-07 16:51:31, 32.548, 70.125, 55.000, -100%
2021-09-07 16:51:33, 32.552, 70.125, 55.000, -100%
2021-09-07 16:51:35, 32.557, 69.938, 55.000, -100%
