Data/Hora, Temperatura Externa, Temperatura Interna, Temperatura Referencia, Sinal de Controle
2021-09-06 21:44:14, 30.437, 90.000, 66.000, -100%
2021-09-06 21:44:16, 30.436, 90.000, 66.000, -100%
2021-09-06 21:44:18, 30.435, 89.562, 66.000, -100%
2021-09-06 21:44:20, 30.435, 88.750, 66.000, -100%
2021-09-06 21:44:22, 30.434, 87.812, 66.000, -100%
2021-09-06 21:44:24, 30.435, 87.812, 66.000, -100%
2021-09-06 21:44:26, 30.435, 86.812, 66.000, -100%
2021-09-06 21:44:28, 30.437, 85.812, 66.000, -100%
2021-09-06 21:44:30, 30.438, 84.812, 66.000, -100%
2021-09-06 21:44:32, 30.438, 83.750, 66.000, -100%
2021-09-06 21:44:34, 30.439, 83.750, 66.000, -100%
2021-09-06 21:44:36, 30.441, 82.750, 66.000, -100%
2021-09-06 21:44:38, 30.443, 81.750, 66.000, -100%
2021-09-06 21:44:40, 30.445, 80.750, 66.000, -100%
2021-09-06 21:44:42, 30.447, 80.750, 66.000, -100%
2021-09-06 21:44:44, 30.450, 79.812, 66.000, -100%
2021-09-06 21:44:46, 30.451, 78.812, 66.000, -100%
2021-09-06 21:44:48, 30.453, 77.938, 66.000, -100%
2021-09-06 21:44:50, 30.454, 77.000, 66.000, -100%
2021-09-06 21:44:52, 30.455, 77.000, 66.000, -100%
2021-09-06 21:44:54, 30.457, 76.125, 66.000, -100%
2021-09-06 21:44:56, 30.459, 75.188, 66.000, -100%
2021-09-06 21:44:58, 30.460, 74.312, 66.000, -100%
2021-09-06 21:45:00, 30.462, 74.312, 66.000, -100%
2021-09-06 21:45:02, 30.465, 73.500, 66.000, -100%
2021-09-06 21:45:04, 30.467, 72.688, 66.000, -100%
2021-09-06 21:45:06, 30.469, 71.875, 66.000, -100%
2021-09-06 21:45:08, 30.472, 71.125, 66.000, -100%
2021-09-06 21:45:10, 30.474, 71.125, 66.000, -100%
2021-09-06 21:45:12, 30.476, 70.312, 66.000, -100%
2021-09-06 21:45:14, 30.477, 69.625, 66.000, -100%
2021-09-06 21:45:16, 30.479, 68.875, 66.000, -100%
2021-09-06 21:45:18, 30.481, 68.875, 66.000, -100%
2021-09-06 21:45:20, 30.483, 68.188, 66.000, -100%
2021-09-06 21:45:22, 30.484, 67.500, 66.000, -100%
2021-09-06 21:45:24, 30.486, 66.812, 66.000, -100%
2021-09-06 21:45:26, 30.487, 66.188, 66.000, -97%
2021-09-06 21:45:28, 30.489, 66.188, 66.000, -100%
2021-09-06 21:45:30, 30.491, 65.500, 66.000, -93%
2021-09-06 21:45:32, 30.493, 64.875, 66.000, -89%
2021-09-06 21:45:34, 30.495, 64.312, 66.000, -83%
2021-09-06 21:45:36, 30.496, 64.312, 66.000, -83%
2021-09-06 21:45:38, 30.498, 63.812, 66.000, -74%
2021-09-06 21:45:40, 30.499, 63.375, 66.000, -67%
2021-09-06 21:45:42, 30.500, 62.875, 66.000, -59%
2021-09-06 21:45:44, 30.501, 62.438, 66.000, -50%
2021-09-06 21:45:46, 30.503, 62.438, 66.000, -45%
2021-09-06 21:45:48, 30.504, 62.062, 66.000, -34%
2021-09-06 21:45:50, 30.506, 61.750, 66.000, -24%
2021-09-06 21:45:52, 30.507, 61.500, 66.000, -15%
2021-09-06 21:45:54, 30.508, 61.500, 66.000, -7%
2021-09-06 21:45:56, 30.509, 61.438, 66.000, 2%
2021-09-06 21:45:58, 30.509, 61.375, 66.000, 11%
2021-09-06 21:46:00, 30.510, 61.312, 66.000, 21%
2021-09-06 21:46:02, 30.509, 61.312, 66.000, 30%
2021-09-06 21:46:04, 30.509, 61.312, 66.000, 39%
2021-09-06 21:46:06, 30.509, 61.312, 66.000, 49%
2021-09-06 21:46:08, 30.509, 61.312, 66.000, 58%
2021-09-06 21:46:10, 30.507, 61.312, 66.000, 67%
2021-09-06 21:46:12, 30.507, 61.312, 66.000, 77%
2021-09-06 21:46:14, 30.506, 61.438, 66.000, 85%
2021-09-06 21:46:16, 30.505, 61.500, 66.000, 94%
2021-09-06 21:46:18, 30.504, 61.688, 66.000, 100%
2021-09-06 21:46:20, 30.504, 61.875, 66.000, 100%
2021-09-06 21:46:22, 30.504, 61.875, 66.000, 100%
2021-09-06 21:46:24, 30.505, 62.125, 66.000, 100%
2021-09-06 21:46:26, 30.505, 62.375, 66.000, 100%
2021-09-06 21:46:28, 30.506, 62.750, 49.000, 100%
2021-09-06 21:46:30, 30.506, 62.750, 49.000, 3%
2021-09-06 21:46:32, 30.507, 63.125, 49.000, -27%
2021-09-06 21:46:34, 30.507, 63.500, 49.000, -58%
2021-09-06 21:46:36, 30.508, 63.875, 49.000, -89%
2021-09-06 21:46:38, 30.508, 64.125, 49.000, -100%
2021-09-06 21:46:40, 30.508, 64.125, 49.000, -100%
2021-09-06 21:46:42, 30.509, 64.125, 49.000, -100%
2021-09-06 21:46:44, 30.510, 64.000, 49.000, -100%
2021-09-06 21:46:46, 30.511, 63.812, 49.000, -100%
2021-09-06 21:46:48, 30.512, 63.812, 49.000, -100%
2021-09-06 21:46:50, 30.515, 63.562, 49.000, -100%
2021-09-06 21:46:52, 30.518, 63.250, 49.000, -100%
2021-09-06 21:46:54, 30.520, 63.000, 49.000, -100%
2021-09-06 21:46:56, 30.522, 62.625, 49.000, -100%
2021-09-06 21:46:58, 30.525, 62.625, 49.000, -100%
2021-09-06 21:47:00, 30.527, 62.312, 49.000, -100%
2021-09-06 21:47:02, 30.528, 62.000, 49.000, -100%
2021-09-06 21:47:04, 30.531, 61.625, 49.000, -100%
2021-09-06 21:47:06, 30.534, 61.625, 49.000, -100%
